episode,title,abbr,stardate,original_airdate,production_number
0x01,The Cage,TOS,Unknown,1988-10-04,6149-01
1x01,Where No Man Has Gone Before,TOS,1312.4 - 1313.8,1966-09-22,6149-02
1x02,The Corbomite Maneuver,TOS,1512.2 - 1514.1,1966-11-10,6149-03
1x03,Mudd's Women,TOS,1329.8 - 1330.1,1966-10-13,6149-04
1x04,The Enemy Within,TOS,1672.1 - 1673.1,1966-10-06,6149-05
1x05,The Man Trap,TOS,1513.1 - 1513.8,1966-09-08,6149-06
1x06,The Naked Time,TOS,1704.2 - 1704.4,1966-09-29,6149-07
1x07,Charlie X,TOS,1533.6 - 1535.8,1966-09-15,6149-08
1x08,Balance of Terror,TOS,1709.2 - 1709.6,1966-12-15,6149-09
1x09,What Are Little Girls Made Of?,TOS,2712.4,1966-10-20,6149-10
1x10,Dagger of the Mind,TOS,2715.1 - 2715.2,1966-11-03,6149-11
1x11,Miri,TOS,2713.5 - 2713.3,1966-10-27,6149-12
1x12,The Conscience of the King,TOS,2817.6 - 2819.8,1966-12-08,6149-13
1x13,The Galileo Seven,TOS,2821.5 - 2823.8,1967-01-05,6149-14
1x14,Court Martial,TOS,2947.3 - 2950.1,1967-02-02,6149-15
1x15,"The Menagerie, Part I",TOS,3012.4 - 3012.6,1966-11-17,6149-16A
1x16,"The Menagerie, Part II",TOS,3013.1 - 3013.2,1966-11-24,6149-16B
1x17,Shore Leave,TOS,3025.3 - 3025.8,1966-12-29,6149-17
1x18,The Squire of Gothos,TOS,2124.5 - 2126.3,1967-01-12,6149-18
1x19,Arena,TOS,3045.6 - 3046.2,1967-01-19,6149-19
1x20,The Alternative Factor,TOS,3087.6 - 3088.7,1967-03-30,6149-20
1x21,Tomorrow is Yesterday,TOS,3113.2 - 3114.1,1967-01-26,6149-21
1x22,The Return of the Archons,TOS,3156.2 - 3158.7,1967-02-09,6149-22
1x23,A Taste of Armageddon,TOS,3192.1 - 3193.0,1967-02-23,6149-23
1x24,Space Seed,TOS,3141.9 - 3143.3,1967-02-16,6149-24
1x25,This Side of Paradise,TOS,3417.3 - 3417.7,1967-03-02,6149-25
1x26,The Devil in the Dark,TOS,3196.1,1967-03-09,6149-26
1x27,Errand of Mercy,TOS,3198.4 - 3201.7,1967-03-23,6149-27
1x28,The City on the Edge of Forever,TOS,Unknown,1967-04-06,6149-28
1x29,Operation -- Annihilate!,TOS,3287.2 - 3289.8,1967-04-13,6149-29
2x01,Catspaw,TOS,3018.2,1967-10-27,60330
2x02,Metamorphosis,TOS,3219.8 - 3220.3,1967-11-10,60331
2x03,Friday's Child,TOS,3497.2 - 3499.1,1967-12-01,60332
2x04,Who Mourns for Adonais?,TOS,3468.1,1967-09-22,60333
2x05,Amok Time,TOS,3372.7,1967-09-15,60334
2x06,The Doomsday Machine,TOS,4202.9,1967-10-20,60335
2x07,Wolf in the Fold,TOS,3614.9 - 3615.4,1967-12-22,60336
2x08,The Changeling,TOS,3541.9,1967-09-29,60337
2x09,The Apple,TOS,3715.0 - 3715.6,1967-10-13,60338
2x10,"Mirror, Mirror",TOS,Unknown,1967-10-06,60339
2x11,The Deadly Years,TOS,3478.2 - 3479.4,1967-12-08,60340
2x12,"I, Mudd",TOS,4513.3,1967-11-03,60341
2x13,The Trouble with Tribbles,TOS,4523.3 - 4525.6,1967-12-29,60342
2x14,Bread and Circuses,TOS,4040.7 - 4041.7,1968-03-15,60343
2x15,Journey to Babel,TOS,3842.3 - 3843.4,1967-11-17,60344
2x16,A Private Little War,TOS,4211.4 - 4211.8,1968-02-02,60345
2x17,The Gamesters of Triskelion,TOS,3211.7 - 3259.2,1968-01-05,60346
2x18,Obsession,TOS,3619.2 - 3620.7,1967-12-15,60347
2x19,The Immunity Syndrome,TOS,4307.1 - 4309.4,1968-01-19,60348
2x20,A Piece of the Action,TOS,Unknown,1968-01-12,60349
2x21,By Any Other Name,TOS,4657.5 - 4658.9,1968-02-23,60350
2x22,Return to Tomorrow,TOS,4768.3 - 4770.3,1968-02-09,60351
2x23,Patterns of Force,TOS,Unknown,1968-02-16,60352
2x24,The Ultimate Computer,TOS,4729.4 - 4731.3,1968-03-08,60353
2x25,The Omega Glory,TOS,Unknown,1968-03-01,60354
2x26,Assignment: Earth,TOS,Unknown,1968-03-29,60355
3x01,Spectre of the Gun,TOS,4385.3,1968-10-25,60043-56
3x02,Elaan of Troyius,TOS,4372.5,1968-12-20,60043-57
3x03,The Paradise Syndrome,TOS,4842.6 - 4843.6,1968-10-04,60043-58
3x04,The Enterprise Incident,TOS,5027.3 - 5027.4,1968-09-27,60043-59
3x05,And the Children Shall Lead,TOS,5029.5,1968-10-11,60043-60
3x06,Spock's Brain,TOS,5431.4 - 5432.3,1968-09-20,60043-61
3x07,Is There in Truth No Beauty?,TOS,5630.7 - 5630.8,1968-10-18,60043-62
3x08,The Empath,TOS,5121.5,1968-12-06,60043-63
3x09,The Tholian Web,TOS,5693.2,1968-11-15,60043-64
3x10,For the World is Hollow and I Have Touched the Sky,TOS,5476.3 - 5476.4,1968-11-08,60043-65
3x11,Day of the Dove,TOS,Unknown,1968-11-01,60043-66
3x12,Plato's Stepchildren,TOS,5784.2 - 5784.3,1968-11-22,60043-67
3x13,Wink of an Eye,TOS,5710.5 - 5710.9,1968-11-29,60043-68
3x14,That Which Survives,TOS,Unknown,1969-01-24,60043-69
3x15,Let That Be Your Last Battlefield,TOS,5730.2 - 5730.7,1969-01-10,60043-70
3x16,Whom Gods Destroy,TOS,5718.3,1969-01-03,60043-71
3x17,The Mark of Gideon,TOS,5423.4 - 5423.8,1969-01-17,60043-72
3x18,The Lights of Zetar,TOS,5725.3 - 5725.6,1969-01-31,60043-73
3x19,The Cloud Minders,TOS,5818.4 - 5819.3,1969-02-28,60043-74
3x20,The Way to Eden,TOS,5832.3 - 5832.6,1969-02-21,60043-75
3x21,Requiem for Methuselah,TOS,5843.7 - 5843.8,1969-02-14,60043-76
3x22,The Savage Curtain,TOS,5906.4 - 5906.5,1969-03-07,60043-77
3x23,All Our Yesterdays,TOS,5943.7 - 5943.9,1969-03-14,60043-78
3x24,Turnabout Intruder,TOS,5928.5 - 5930.3,1969-06-03,60043-79
